no of sites,inc mat,freq breakdown,inacc cost,satisfaction,delay rate
99,74,70,65,83,95.22399999999999
46,88,43,59,80,77.03299999999999
49,93,32,54,38,64.78999999999999
81,98,34,65,51,80.1
91,90,61,99,70,100.07300000000001
100,77,32,44,98,85.49799999999999
78,91,96,81,55,97.66199999999998
67,85,58,75,92,91.87099999999998
93,77,71,83,55,92.26199999999999
30,66,89,68,56,75.324
72,100,61,59,41,81.09
41,53,32,81,81,70.19
59,92,69,34,86,82.894
36,49,97,80,36,72.596
56,88,31,50,48,66.498
57,95,81,65,99,96.788
98,52,98,83,35,89.06
39,90,87,88,64,89.69
65,98,39,73,48,78.657
93,50,99,30,97,89.917
78,54,74,84,51,83.01500000000001
34,60,84,83,96,87.053
33,42,95,68,61,72.88300000000001
51,95,34,34,75,70.455
45,87,32,63,61,70.17999999999999
32,78,95,50,50,74.356
88,74,33,36,99,80.407
78,37,50,62,31,62.765
88,89,33,46,72,79.882
100,96,79,60,32,89.32
49,80,77,86,32,78.904
66,80,81,59,87,90.908
35,57,87,74,40,71.38799999999999
73,42,39,69,82,74.287
51,61,57,33,89,70.958
34,40,93,67,85,77.786
79,90,46,48,99,88.221
83,91,76,46,88,93.572
38,53,41,67,78,67.523
66,79,78,52,48,78.676
85,43,82,92,71,90.82099999999998
52,94,47,65,64,78.463
65,94,53,83,47,83.282
80,52,46,59,48,69.36900000000001
74,73,38,35,57,67.462
37,93,99,35,85,85.132
60,63,62,69,92,84.327
55,60,78,63,89,84.096
41,89,30,96,31,69.881
43,52,66,42,61,64.34899999999999
44,82,62,61,37,69.672
31,54,88,72,71,77.041
49,69,77,61,93,85.09
73,94,59,97,92,101.10900000000001
64,78,88,45,44,77.707
90,64,30,54,89,79.643
91,97,48,46,88,90.14
70,35,87,62,48,73.534
97,97,86,40,61,92.791
62,75,48,38,86,75.32000000000001
97,63,62,51,50,78.617
99,88,65,53,49,86.17399999999999
79,41,58,93,99,90.128
35,97,32,47,47,62.882
37,67,69,75,99,84.618
52,31,66,83,75,74.79599999999999
73,99,71,44,72,87.478
51,96,72,78,68,88.948
99,51,55,33,78,76.951
49,36,88,80,30,68.904
91,93,87,41,47,87.41999999999999
49,90,82,30,63,76.55099999999999
48,73,82,61,89,86.064
66,98,78,95,91,104.296
88,41,34,41,46,60.82899999999999
91,74,51,36,67,77.685
36,47,64,43,37,55.309999999999995
50,90,99,42,76,87.042
49,69,98,94,73,93.333
88,94,61,90,63,96.421
62,53,52,83,54,74.023
72,40,31,35,42,53.543
53,38,74,34,76,67.036
96,34,94,86,91,97.657
47,37,72,63,35,61.854
47,45,59,61,47,63.088
77,60,36,60,92,79.178
58,41,64,81,46,70.609
94,50,52,32,30,62.76199999999999
32,42,72,96,80,78.488
96,87,31,87,68,89.82499999999999
96,84,84,89,92,108.39099999999999
77,47,60,69,67,77.924
40,47,71,84,59,73.339
73,78,97,67,59,91.10199999999999
78,37,52,93,52,75.931
46,66,70,65,44,70.89099999999999
38,80,81,95,98,95.57499999999999
51,49,92,49,38,67.963
80,74,83,62,35,81.309
59,94,62,40,57,76.027
40,31,48,83,52,61.865
71,54,86,73,53,82.066
46,36,47,83,70,68.703
56,94,61,88,83,93.09100000000001
57,44,58,72,93,78.963
65,72,44,42,45,65.26500000000001
43,100,39,38,67,69.971
75,40,55,45,48,64.025
64,51,38,35,69,62.614000000000004
99,54,49,36,33,65.923
36,84,95,97,68,92.619
36,48,60,85,43,66.254
63,72,60,57,82,81.395
88,35,56,34,52,64.502
56,50,32,71,38,60.123000000000005
66,47,31,38,37,53.303
42,84,85,58,40,75.29399999999998
60,84,66,84,79,90.887
58,74,68,64,85,85.06099999999999
35,85,91,47,85,83.66
88,33,68,55,67,75.72
59,75,86,94,93,99.189
69,72,30,65,96,80.901
55,83,98,87,33,86.69999999999999
100,78,78,41,63,87.66199999999999
57,62,32,33,66,60.919
35,68,79,100,61,83.583
73,73,93,31,78,84.813
79,90,93,85,97,108.19000000000001
46,44,60,72,62,69.194
72,99,31,79,90,90.39099999999999
66,32,82,97,66,83.529
34,73,60,79,93,82.66199999999999
88,90,47,74,41,82.751
50,90,44,67,93,83.86200000000001
94,32,36,73,43,67.61399999999999
77,62,79,85,41,83.738
93,34,46,43,47,63.989999999999995
91,74,88,46,79,92.08300000000001
94,39,81,41,87,83.306
95,51,31,99,54,80.285
96,92,65,58,93,98.419
59,92,37,77,68,81.125
50,50,84,55,68,74.821
83,53,66,82,88,90.608
50,94,73,83,93,95.80199999999999
60,88,48,34,95,79.24100000000001
60,35,45,60,52,61.36
31,92,56,75,35,70.414
34,99,74,31,34,66.303
41,40,39,87,35,58.914
45,75,42,42,77,68.509
53,99,81,67,81,92.87199999999999
35,100,36,32,90,71.47999999999999
58,94,65,52,97,89.233
72,49,41,82,87,80.625
94,92,40,40,62,79.86599999999999
96,95,91,42,46,90.092
51,99,38,93,56,82.089
49,73,96,45,54,77.259
44,62,33,36,45,53.601
80,78,89,53,32,80.827
66,41,57,31,82,67.507
62,34,67,94,73,80.375
59,75,70,38,57,72.857
72,97,42,71,96,92.11299999999999
41,97,91,43,75,84.61800000000001
47,32,83,89,91,83.356
81,37,62,75,54,75.21300000000001
62,91,37,83,93,89.19
42,65,51,95,64,77.233
58,82,34,59,100,81.17699999999999
61,78,31,38,71,67.987
33,97,51,49,94,79.035
75,89,81,69,87,97.71199999999999
93,100,78,86,94,109.866
43,31,48,52,94,65.348
70,57,82,95,97,97.706
96,89,58,44,70,86.94200000000001
96,92,93,99,47,103.944
72,55,62,34,30,61.584
72,38,36,47,61,61.846
36,88,35,54,85,72.671
93,37,75,63,67,81.55799999999999
60,99,99,67,68,95.773
54,85,50,79,100,89.705
70,46,98,51,77,83.33399999999999
37,32,43,92,40,59.41
86,40,43,36,77,68.67699999999999
78,96,34,49,84,83.083
48,66,80,49,100,83.64699999999999
76,74,88,61,85,93.568
59,67,71,98,70,88.91399999999999
57,68,58,63,81,79.692
92,32,85,34,95,82.34899999999999
75,46,92,62,51,79.38300000000001
87,82,72,93,67,97.644
64,57,81,65,86,86.025
94,52,34,92,57,80.053
46,80,65,52,51,71.643
48,84,69,90,43,81.353
56,90,93,44,79,88.251
61,74,52,36,38,63.564
98,49,77,35,46,74.23499999999999
62,34,45,71,39,61.088
31,32,46,98,46,61.617999999999995
77,66,35,49,93,77.97
41,71,74,51,68,74.355
70,72,64,92,34,80.80999999999999
63,70,50,79,44,74.503
58,76,71,98,84,94.29799999999999
64,66,58,85,43,76.934
69,80,88,56,41,81.343
86,37,95,47,42,74.731
44,72,40,62,73,70.92699999999999
95,83,82,63,96,102.079
41,99,43,41,64,70.213
53,32,52,58,88,68.976
